queryItem,stringId,ncbiTaxonId,taxonName,preferredName,annotation
GNB1,ENSP00000367872,9606,Homo sapiens,GNB1,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction."
GNG7,ENSP00000371594,9606,Homo sapiens,GNG7,"Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction. Plays a role in the regulation of adenylyl cyclase signaling in certain regions of the brain. Plays a role in the formation or stabilzation of a G protein heterotrimer (G(olf) subunit alpha-beta-gamma-7) that is required for adenylyl cyclase activity in t [...] "
OR51B5,ENSP00000300773,9606,Homo sapiens,OR51B5,Olfactory receptor 51B5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10AG1,ENSP00000311477,9606,Homo sapiens,OR10AG1,Olfactory receptor 10AG1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5J2,ENSP00000310788,9606,Homo sapiens,OR5J2,Olfactory receptor 5J2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C13,ENSP00000452277,9606,Homo sapiens,OR4C13,Olfactory receptor 4C13; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C12,ENSP00000334418,9606,Homo sapiens,OR4C12,Olfactory receptor 4C12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51V1,ENSP00000321729,9606,Homo sapiens,OR51V1,Olfactory receptor 51V1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8D1,ENSP00000493365,9606,Homo sapiens,OR8D1,Olfactory receptor 8D1; Odorant receptor (Potential). May be involved in taste perception.
OR8D2,ENSP00000485661,9606,Homo sapiens,OR8D2,Olfactory receptor 8D2; Odorant receptor (Potential). May be involved in taste perception.
OR8B4,ENSP00000348449,9606,Homo sapiens,OR8B4,Olfactory receptor 8B4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9G4,ENSP00000307515,9606,Homo sapiens,OR9G4,Olfactory receptor 9G4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10A4,ENSP00000369157,9606,Homo sapiens,OR10A4,Olfactory receptor 10A4; Odorant receptor (Potential). May be involved in taste perception.
OR6C6,ENSP00000351211,9606,Homo sapiens,OR6C6,Olfactory receptor 6C6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4N4,ENSP00000332500,9606,Homo sapiens,OR4N4,Olfactory receptor 4N4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2Z1,ENSP00000493322,9606,Homo sapiens,OR2Z1,Olfactory receptor 2Z1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10H5,ENSP00000493242,9606,Homo sapiens,OR10H5,Olfactory receptor 10H5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2L13,ENSP00000493075,9606,Homo sapiens,OR2L13,Olfactory receptor 2L13; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR14A16,ENSP00000493024,9606,Homo sapiens,OR14A16,Olfactory receptor 14A16; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2V2,ENSP00000493207,9606,Homo sapiens,OR2V2,Olfactory receptor 2V2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C9,ENSP00000259362,9606,Homo sapiens,OR13C9,Olfactory receptor 13C9; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13D1,ENSP00000317357,9606,Homo sapiens,OR13D1,Olfactory receptor 13D1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
GUCY2D,ENSP00000254854,9606,Homo sapiens,GUCY2D,"Retinal guanylyl cyclase 1; Catalyzes the synthesis of cyclic GMP (cGMP) in rods and cones of photoreceptors. Plays an essential role in phototransduction, by mediating cGMP replenishment. May also participate in the trafficking of membrane-asociated proteins to the photoreceptor outer segment membrane (By similarity). Belongs to the adenylyl cyclase class-4/guanylyl cyclase family."
OR8D4,ENSP00000493391,9606,Homo sapiens,OR8D4,Olfactory receptor 8D4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5F1,ENSP00000278409,9606,Homo sapiens,OR5F1,Olfactory receptor 5F1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AP2,ENSP00000442701,9606,Homo sapiens,OR5AP2,Olfactory receptor 5AP2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52L1,ENSP00000330338,9606,Homo sapiens,OR52L1,Olfactory receptor 52L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2AG2,ENSP00000493362,9606,Homo sapiens,OR2AG2,Olfactory receptor 2AG2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52B6,ENSP00000341581,9606,Homo sapiens,OR52B6,Olfactory receptor 52B6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2AT4,ENSP00000493299,9606,Homo sapiens,OR2AT4,"Olfactory receptor 2AT4; Olfactory receptor. Activated by the synthetic sandalwood odorant sandalore. Endogenous ligand is unknown (Probable). The activity of this receptor is propably mediated by G proteins which induce elevation of intracellular Ca(2+), a cAMP- dependent pathway and phosphorylation of MAPK1/ERK2, MAPK3/ERK1 and p38 MAPKs. Activation of OR2AT4 induces proliferation, migration, and re-epithelialization during wound-healing processes of keratinocytes. Stimulation of OR2AT4 by sandalore promotes hair growth by decreasing apoptosis and increasing production of the anagen- [...] "
OR10A2,ENSP00000493131,9606,Homo sapiens,OR10A2,Olfactory receptor 10A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C2,ENSP00000493222,9606,Homo sapiens,OR6C2,Olfactory receptor 6C2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C4,ENSP00000493181,9606,Homo sapiens,OR6C4,Olfactory receptor 6C4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8S1,ENSP00000310632,9606,Homo sapiens,OR8S1,Olfactory receptor 8S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6S1,ENSP00000313110,9606,Homo sapiens,OR6S1,Olfactory receptor 6S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6F1,ENSP00000493342,9606,Homo sapiens,OR6F1,Olfactory receptor 6F1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR14K1,ENSP00000283225,9606,Homo sapiens,OR14K1,Olfactory receptor 14K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2W3,ENSP00000353516,9606,Homo sapiens,OR2W3,Olfactory receptor 2W3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T8,ENSP00000493286,9606,Homo sapiens,OR2T8,Olfactory receptor 2T8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T3,ENSP00000352604,9606,Homo sapiens,OR2T3,Olfactory receptor 2T3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10R2,ENSP00000357134,9606,Homo sapiens,OR10R2,Olfactory receptor 10R2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T29,ENSP00000492895,9606,Homo sapiens,OR2T29,Olfactory receptor 2T29; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6V1,ENSP00000396085,9606,Homo sapiens,OR6V1,Olfactory receptor 6V1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A12,ENSP00000493157,9606,Homo sapiens,OR2A12,Olfactory receptor 2A12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A1,ENSP00000493454,9606,Homo sapiens,OR2A1,Olfactory receptor family 2 subfamily A member 1.
OR1J1,ENSP00000259357,9606,Homo sapiens,OR1J1,Olfactory receptor 1J1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1B1,ENSP00000485577,9606,Homo sapiens,OR1B1,Olfactory receptor 1B1; Odorant receptor.
OR13H1,ENSP00000340748,9606,Homo sapiens,OR13H1,Olfactory receptor 13H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR56B1,ENSP00000322939,9606,Homo sapiens,OR56B1,Olfactory receptor 56B1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR14A2,ENSP00000355441,9606,Homo sapiens,OR14A2,Olfactory receptor 14A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6B2,ENSP00000384563,9606,Homo sapiens,OR6B2,Olfactory receptor 6B2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52K1,ENSP00000493011,9606,Homo sapiens,OR52K1,Olfactory receptor 52K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52I1,ENSP00000436453,9606,Homo sapiens,OR52I1,Olfactory receptor 52I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51D1,ENSP00000492986,9606,Homo sapiens,OR51D1,Olfactory receptor 51D1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52A5,ENSP00000493298,9606,Homo sapiens,OR52A5,Olfactory receptor 52A5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51B6,ENSP00000369568,9606,Homo sapiens,OR51B6,Olfactory receptor 51B6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51M1,ENSP00000493005,9606,Homo sapiens,OR51M1,Olfactory receptor 51M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51Q1,ENSP00000300778,9606,Homo sapiens,OR51Q1,Olfactory receptor 51Q1; Odorant receptor.
OR51I1,ENSP00000369559,9606,Homo sapiens,OR51I1,Olfactory receptor 51I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51I2,ENSP00000493016,9606,Homo sapiens,OR51I2,Olfactory receptor 51I2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52D1,ENSP00000326232,9606,Homo sapiens,OR52D1,Olfactory receptor 52D1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52H1,ENSP00000493308,9606,Homo sapiens,OR52H1,Olfactory receptor 52H1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52N4,ENSP00000493338,9606,Homo sapiens,OR52N4,Olfactory receptor 52N4; Odorant receptor.
OR52N5,ENSP00000493190,9606,Homo sapiens,OR52N5,Olfactory receptor 52N5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52N2,ENSP00000322801,9606,Homo sapiens,OR52N2,Olfactory receptor 52N2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52E6,ENSP00000328878,9606,Homo sapiens,OR52E6,Olfactory receptor 52E6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52E8,ENSP00000444054,9606,Homo sapiens,OR52E8,Olfactory receptor 52E8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52E4,ENSP00000493085,9606,Homo sapiens,OR52E4,Olfactory receptor 52E4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52E5,ENSP00000480583,9606,Homo sapiens,OR52E5,Olfactory receptor 52E5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR56A3,ENSP00000493319,9606,Homo sapiens,OR56A3,Olfactory receptor 56A3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR56A5,ENSP00000481594,9606,Homo sapiens,OR56A5,Olfactory receptor 56A5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10A6,ENSP00000492919,9606,Homo sapiens,OR10A6,Olfactory receptor 10A6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4X1,ENSP00000321506,9606,Homo sapiens,OR4X1,Olfactory receptor 4X1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5D13,ENSP00000485428,9606,Homo sapiens,OR5D13,Olfactory receptor 5D13; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5D16,ENSP00000367649,9606,Homo sapiens,OR5D16,Olfactory receptor 5D16; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5W2,ENSP00000342448,9606,Homo sapiens,OR5W2,Olfactory receptor 5W2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8H2,ENSP00000493031,9606,Homo sapiens,OR8H2,Olfactory receptor 8H2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8H3,ENSP00000323928,9606,Homo sapiens,OR8H3,Olfactory receptor 8H3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5T3,ENSP00000305403,9606,Homo sapiens,OR5T3,Olfactory receptor 5T3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5T1,ENSP00000493364,9606,Homo sapiens,OR5T1,Olfactory receptor 5T1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8K1,ENSP00000279783,9606,Homo sapiens,OR8K1,Olfactory receptor 8K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M9,ENSP00000279791,9606,Homo sapiens,OR5M9,Olfactory receptor 5M9; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M10,ENSP00000436004,9606,Homo sapiens,OR5M10,Olfactory receptor 5M10; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5M1,ENSP00000493124,9606,Homo sapiens,OR5M1,Olfactory receptor 5M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9G1,ENSP00000493255,9606,Homo sapiens,OR9G1,Olfactory receptor 9G1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AK2,ENSP00000322784,9606,Homo sapiens,OR5AK2,Olfactory receptor 5AK2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5B2,ENSP00000493419,9606,Homo sapiens,OR5B2,Olfactory receptor 5B2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5B12,ENSP00000493263,9606,Homo sapiens,OR5B12,Olfactory receptor 5B12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AN1,ENSP00000492957,9606,Homo sapiens,OR5AN1,"Olfactory receptor 5AN1; Odorant receptor involved in the detection of muscone, cyclopentadecanone, cyclopentadecanol, and omega-pentadecalactone. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (Probable). Belongs to the G-protein coupled receptor 1 family."
OR4D10,ENSP00000436424,9606,Homo sapiens,OR4D10,Olfactory receptor 4D10; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4D9,ENSP00000493010,9606,Homo sapiens,OR4D9,Olfactory receptor 4D9; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10V1,ENSP00000302199,9606,Homo sapiens,OR10V1,Olfactory receptor 10V1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6X1,ENSP00000333724,9606,Homo sapiens,OR6X1,Olfactory receptor 6X1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6M1,ENSP00000311038,9606,Homo sapiens,OR6M1,Olfactory receptor 6M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G4,ENSP00000493354,9606,Homo sapiens,OR10G4,Olfactory receptor 10G4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10G7,ENSP00000492905,9606,Homo sapiens,OR10G7,Olfactory receptor 10G7; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8B3,ENSP00000493120,9606,Homo sapiens,OR8B3,Olfactory receptor 8B3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR8A1,ENSP00000492999,9606,Homo sapiens,OR8A1,Olfactory receptor 8A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C1,ENSP00000492978,9606,Homo sapiens,OR6C1,Olfactory receptor 6C1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C75,ENSP00000493430,9606,Homo sapiens,OR6C75,Olfactory receptor 6C75; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C76,ENSP00000328402,9606,Homo sapiens,OR6C76,Olfactory receptor 6C76; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C70,ENSP00000329153,9606,Homo sapiens,OR6C70,Olfactory receptor 6C70; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4N2,ENSP00000493327,9606,Homo sapiens,OR4N2,Olfactory receptor 4N2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4K2,ENSP00000493007,9606,Homo sapiens,OR4K2,Olfactory receptor 4K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4K13,ENSP00000493405,9606,Homo sapiens,OR4K13,Olfactory receptor 4K13; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4K17,ENSP00000319197,9606,Homo sapiens,OR4K17,Olfactory receptor 4K17; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4N5,ENSP00000493307,9606,Homo sapiens,OR4N5,Olfactory receptor 4N5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR11G2,ENSP00000349930,9606,Homo sapiens,OR11G2,Olfactory receptor 11G2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR11H4,ENSP00000318997,9606,Homo sapiens,OR11H4,Olfactory receptor 11H4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5AU1,ENSP00000493431,9606,Homo sapiens,OR5AU1,Olfactory receptor 5AU1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4M2,ENSP00000483239,9606,Homo sapiens,OR4M2,Olfactory receptor 4M2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4F6,ENSP00000327525,9606,Homo sapiens,OR4F6,Olfactory receptor 4F6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4F15,ENSP00000333184,9606,Homo sapiens,OR4F15,Olfactory receptor 4F15; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7G2,ENSP00000303822,9606,Homo sapiens,OR7G2,Olfactory receptor 7G2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7G3,ENSP00000302867,9606,Homo sapiens,OR7G3,Olfactory receptor 7G3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR7A10,ENSP00000493055,9606,Homo sapiens,OR7A10,Olfactory receptor 7A10; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10K2,ENSP00000493297,9606,Homo sapiens,OR10K2,Olfactory receptor 10K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10K1,ENSP00000493023,9606,Homo sapiens,OR10K1,Olfactory receptor 10K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6Y1,ENSP00000492894,9606,Homo sapiens,OR6Y1,Olfactory receptor 6Y1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6K3,ENSP00000357127,9606,Homo sapiens,OR6K3,Olfactory receptor 6K3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR11L1,ENSP00000348033,9606,Homo sapiens,OR11L1,Olfactory receptor 11L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2L8,ENSP00000485287,9606,Homo sapiens,OR2L8,Olfactory receptor 2L8; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2AK2,ENSP00000493202,9606,Homo sapiens,OR2AK2,Olfactory receptor 2AK2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2L3,ENSP00000493020,9606,Homo sapiens,OR2L3,Olfactory receptor 2L3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2M2,ENSP00000492974,9606,Homo sapiens,OR2M2,Olfactory receptor 2M2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T33,ENSP00000493437,9606,Homo sapiens,OR2T33,Olfactory receptor 2T33; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2M7,ENSP00000324557,9606,Homo sapiens,OR2M7,Olfactory receptor 2M7; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2G6,ENSP00000493355,9606,Homo sapiens,OR2G6,Olfactory receptor 2G6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A25,ENSP00000493343,9606,Homo sapiens,OR2A25,Olfactory receptor 2A25; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13J1,ENSP00000367219,9606,Homo sapiens,OR13J1,Olfactory receptor 13J1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13C2,ENSP00000438815,9606,Homo sapiens,OR13C2,Olfactory receptor 13C2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1L6,ENSP00000304235,9606,Homo sapiens,OR1L6,Olfactory receptor 1L6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5C1,ENSP00000362784,9606,Homo sapiens,OR5C1,Olfactory receptor 5C1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1K1,ENSP00000277309,9606,Homo sapiens,OR1K1,Olfactory receptor 1K1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A5,ENSP00000493295,9606,Homo sapiens,OR2A5,Olfactory receptor 2A5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A7,ENSP00000493320,9606,Homo sapiens,OR2A7,Olfactory receptor 2A7; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51T1,ENSP00000369738,9606,Homo sapiens,OR51T1,Olfactory receptor 51T1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51A4,ENSP00000492963,9606,Homo sapiens,OR51A4,Olfactory receptor 51A4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51A2,ENSP00000369729,9606,Homo sapiens,OR51A2,Olfactory receptor 51A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T2,ENSP00000492947,9606,Homo sapiens,OR2T2,Olfactory receptor 2T2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T5,ENSP00000493066,9606,Homo sapiens,OR2T5,Olfactory receptor 2T5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR14I1,ENSP00000339726,9606,Homo sapiens,OR14I1,Olfactory receptor 14I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5K2,ENSP00000393889,9606,Homo sapiens,OR5K2,Olfactory receptor 5K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2A42,ENSP00000493333,9606,Homo sapiens,OR2A42,Olfactory receptor 2A1/2A42; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T27,ENSP00000493434,9606,Homo sapiens,OR2T27,Olfactory receptor 2T27; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T35,ENSP00000492995,9606,Homo sapiens,OR2T35,Olfactory receptor 2T35; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4A47,ENSP00000412752,9606,Homo sapiens,OR4A47,Olfactory receptor 4A47; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5H14,ENSP00000493226,9606,Homo sapiens,OR5H14,Olfactory receptor 5H14; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5H15,ENSP00000493082,9606,Homo sapiens,OR5H15,Olfactory receptor 5H15; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5K3,ENSP00000373194,9606,Homo sapiens,OR5K3,Olfactory receptor 5K3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5K4,ENSP00000347003,9606,Homo sapiens,OR5K4,Olfactory receptor 5K4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C65,ENSP00000368986,9606,Homo sapiens,OR6C65,Olfactory receptor 6C65; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR6C68,ENSP00000448811,9606,Homo sapiens,OR6C68,Olfactory receptor 6C68; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
ARRB1,ENSP00000409581,9606,Homo sapiens,ARRB1,"Beta-arrestin-1; Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes. During homologous desensitization, beta- arrestins bind to the GPRK-phosphorylated receptor and sterically preclude its coupling to the cognate G-protein; the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin- associated sorting proteins) and re [...] "
ARRB2,ENSP00000403701,9606,Homo sapiens,ARRB2,"Beta-arrestin-2; Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes. During homologous desensitization, beta- arrestins bind to the GPRK-phosphorylated receptor and sterically preclude its coupling to the cognate G-protein; the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin- associated sorting proteins) and re [...] "
OR11H12,ENSP00000449002,9606,Homo sapiens,OR11H12,Olfactory receptor 11H12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4F21,ENSP00000318878,9606,Homo sapiens,OR4F21,Olfactory receptor 4F21; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5B3,ENSP00000493217,9606,Homo sapiens,OR5B3,Olfactory receptor 5B3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR9K2,ENSP00000307598,9606,Homo sapiens,OR9K2,Olfactory receptor 9K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4Q3,ENSP00000330049,9606,Homo sapiens,OR4Q3,Olfactory receptor 4Q3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4M1,ENSP00000492985,9606,Homo sapiens,OR4M1,Olfactory receptor 4M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR13G1,ENSP00000493110,9606,Homo sapiens,OR13G1,Olfactory receptor 13G1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2B3,ENSP00000366378,9606,Homo sapiens,OR2B3,Putative olfactory receptor 2B3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2J1,ENSP00000493312,9606,Homo sapiens,OR2J1,Olfactory receptor 2J1; Odorant receptor.
OR2J3,ENSP00000493439,9606,Homo sapiens,OR2J3,"Olfactory receptor 2J3; Odorant receptor involved in the detection of the flavor compound cis-3-hexen-1-ol (C3HEX), a compound typically described as 'green grassy' or the smell of 'cut grass'."
OR14J1,ENSP00000492893,9606,Homo sapiens,OR14J1,Olfactory receptor 14J1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10C1,ENSP00000419119,9606,Homo sapiens,OR10C1,Olfactory receptor 10C1; Odorant receptor.
OR2A2,ENSP00000386209,9606,Homo sapiens,OR2A2,Olfactory receptor 2A2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1D2,ENSP00000493103,9606,Homo sapiens,OR1D2,Olfactory receptor 1D2; Odorant receptor which may be involved in sperm chemotaxis. Bourgeonal is a strong chemoattractant for sperm in vitro and is shown to be a strong agonist for OR1D2 in vitro. May also function in olfactory reception; Belongs to the G-protein coupled receptor 1 family.
OR1F1,ENSP00000305424,9606,Homo sapiens,OR1F1,Olfactory receptor 1F1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2C1,ENSP00000307726,9606,Homo sapiens,OR2C1,Olfactory receptor 2C1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR3A1,ENSP00000313803,9606,Homo sapiens,OR3A1,Olfactory receptor 3A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
